JD,RV,Weight
2421768.16,33.3,0.025
2421941.55,32.8,0.025
2421972.52,29.6,0.025
2423120.31,29.4,0.025
2423128.38,29.8,0.025
2441796.96,25.0,0.25
2442468.01,22.5,0.25
2443235.0,24.2,0.25
2443597.96,22.4,0.25
2443651.24,22.5,0.25
2444007.96,22.0,0.25
2444251.12,21.4,0.25
2445728.13,24.0,0.0
2445820.85,18.6,0.25
2446415.14,30.0,0.0
2446473.09,18.0,0.0
2446503.98,13.0,0.0
2446524.87,19.5,0.25
2446855.94,21.0,0.25
2447137.24,24.4,0.25
2447186.48,24.7,0.25
2447231.02,25.6,0.25
2447236.98,25.5,0.25
2447263.89,25.8,0.25
2447287.87,26.3,0.25
2447317.92,27.5,0.25
2447318.88,27.0,0.25
2447470.2,28.6,0.25
2447544.11,29.7,0.25
2447562.14,29.5,0.25
2447580.25,29.7,0.25
2447597.02,30.3,0.25
2447644.01,31.0,0.25
2447665.9,32.2,0.25
2447695.92,31.9,0.25
2447830.21,31.5,0.25
2447905.11,33.1,0.25
2447934.27,32.0,0.25
2447963.38,32.1,0.25
2447976.9,32.6,0.25
2448010.02,32.5,0.25
2448037.9,32.0,0.25
2448229.24,33.0,0.25
2448282.08,32.2,0.25
2448293.09,33.1,0.25
2448417.9,32.1,0.25
2448609.15,31.8,0.25
2448741.87,32.5,1.0
2449034.08,31.4,1.0
2449357.22,31.1,1.0
2449569.84,30.0,1.0
2449725.13,30.3,1.0
2449873.91,29.9,1.0
2450176.0,29.4,1.0
2450580.92,29.0,1.0
2450935.91,28.3,1.0
2451005.86,28.7,1.0
2451529.22,27.8,1.0
2451677.95,27.2,1.0
2451892.23,26.9,1.0
2452067.97,27.2,1.0
2452276.18,26.0,1.0
2452428.93,27.0,1.0
2452667.17,26.6,1.0
2452800.91,26.4,1.0
2453094.99,26.0,1.0
2453161.92,26.4,1.0
2453379.16,25.6,1.0
2453520.97,25.5,1.0
2453764.16,25.3,1.0
2453888.97,25.1,1.0
2454078.3,25.0,1.0
2454249.97,24.8,1.0
2454471.25,24.6,1.0
2456337.762,21.105,0.02474
