JD,RV
2426466.724, -16.30
2426466.884, -17.32
2426466.923, -16.43
2426467.729, -16.90
2426467.886, -16.68
2426468.746, -16.66
2426471.823, -16.24
2426477.742, -16.74
2426477.788, -16.99
2426477.850, -17.46
2426488.822, -17.10
2426488.862, -17.76
2426488.900, -17.25
2426494.854, -16.56
2426494.833, -17.56
2426495.850, -16.29
2426495.878, -16.26
2426496.872, -14.96
2426503.871, -15.20
2426504.805, -16.06
2426504.849, -15.93
2426509.712, -16.68
2426509.766, -15.48
2426514.758, -15.16
2426514.803, -15.24
2426523.888, -15.78
2426524.815, -16.67
2426534.713, -16.16
2426537.742, -15.53
2426537.790, -15.60
2426545.682, -15.29
2426549.686, -14.97
2426549.721, -14.90
2426554.717, -15.39
2426554.757, -15.59
2426560.671, -15.29
2426566.683, -15.29
2426572.691, -14.98
2426581.650, -14.55
2426591.692, -15.07
2426594.669, -14.71
2426598.654, -15.26
2426600.641, -15.16
2426601.1634, -16.00
2426602.646, -15.39
2426605.639, -14.97
2426606.654, -14.60
2426607.643, -14.71
2426608.610, -15.08
2426609.628, -14.06
2426610.625, -14.64
2426612.629, -14.87
2426616.617, -14.16
2426619.632, -14.92
2426626.622, -13.86
2426629.606, -13.47
2426633.606, -13.97
2426756.972, -15.21
2426794.923, -16.17
2426805.826, -15.50
2426805.871, -15.90
2426806.843, -15.93
2426806.908, -16.48
2426808.848, -16.68
2426808.912, -15.55
2426837.882, -16.74
2426837.923, -16.32
2426838.919, -16.31
2426838.960, -16.08
2426839.741, -16.39
2426839.797, -16.10
2426839.858, -15.73
2426839.906, -16.16
2426839.956, -16.04
2426830.931, -16.27
2426843.853, -16.18
2426844.738, -16.16
2426844.787, -15.40
2426844.856, -15.65
2426846.785, -15.84
2426853.837, -15.52
2426854.748, -15.18
2426862.816, -16.28
2426862.868, -15.55
2426866.782, -15.60
2426866.832, -15.48
2426867.785, -15.74
2426867.834, -16.10
2426868.705, -16.15
2426868.746, -16.33
2426875.784, -15.61
2426875.834, -15.22
2426878.805, -15.34
2426878.854, -15.85
2426882.739, -15.93
2426882.790, -15.66
2426884.799, -15.44
2426884.841, -15.40
2426887.790, -15.25
2426887.840, -14.71
2426891.840, -14.26
2426891.895, -14.31
2426895.705, -15.17
2426895.751, -15.35
2426903.690, -14.97
2426903.736, -14.91
2426903.782, -15.06
2426934.637, -14.57
2426934.677, -13.35
2426950.654, -14.69
2426950.699, -14.30
2427130.940, -15.25
2427130.990, -15.17
2427140.914, -14.77
2427140.967, -15.43
2427150.885, -14.69
2427150.948, -15.19
2427164.875, -15.77
2427164.923, -15.43
2427164.971, -15.59
2427175.886, -16.04
2427175.950, -15.22
2427211.748, -15.56
2427211.798, -15.32
2427216.730, -15.38
2427216.773, -15.80
2427244.756, -15.69
2427244.801, -15.89
2427256.752, -14.64
2427256.795, -14.49
2427256.828, -15.00
2427258.715, -15.71
2427258.758, -14.66
2427260.757, -14.12
2427260.799, -15.13
2427265.806, -14.69
2427267.805, -15.16
2427268.796, -13.68
2427284.714, -14.84
2427313.661, -13.84
2427314.654, -14.80
2427322.960, -13.69
2427343.612, -13.83
2427363.600, -14.45
2427469.006, -16.59
2427469.055, -17.19
2427498.938, -16.56
2427498.987, -15.84
2427534.897, -15.20
2427534.974, -15.46
2427540.846, -15.53
2427540.888, -15.20
2427553.852, -16.15
2427553.913, -15.54
2427575.852, -15.69
2427575.904, -14.26
2427655.709, -13.44
2427655.772, -15.44
2427672.871, -15.70
2427672.922, -15.31
2427675.883, -16.62
2427693.024, -16.46
2427925.913, -16.66
2427925.962, -16.85
2427930.884, -16.75
2427930.927, -16.75
2427936.904, -16.11
2427950.816, -16.43
2427958.866, -16.73
2427968.857, -16.36
2427968.914, -16.98
2427975.756, -16.97
2427993.798, -17.27
2427993.843, -16.96
2428056.655, -19.08
2428065.656, -17.67
2428202.929, -18.58
2428202.974, -18.88
2428225.947, -19.26
2428225.989, -19.23
2428232.923, -20.92
2428233.007, -20.41
2428242.912, -19.44
2428242.955, -19.03
2428248.945, -20.00
2428272.820, -20.34
2428272.863, -19.79
2428283.751, -19.74
2428328.852, -19.96
2428336.826, -19.52
2428343.828, -19.25
2428639.928, -25.84
2428639.982, -25.51
2428649.949, -26.08
2428658.938, -27.76
2428658.992, -26.11
2428670.697, -25.54
2428670.757, -26.24
2428670.801, -26.36
2428670.850, -26.70
2428670.892, -26.31
2428670.935, -26.51
2428670.977, -26.75
2428740.727, -30.28
2428740.770, -31.70
2428786.654, -32.84
2428786.697, -32.22
2428950.023, -30.58
2428953.939, -32.16
2428990.015, -32.74
2429006.019, -33.04
2429026.956, -34.62
2429026.998, -34.19
2429033.918, -34.82
2429036.938, -33.47
2429042.827, -33.22
2429049.833, -34.43
2429058.836, -33.03
2429336.906, -25.33
2429336.956, -25.69
2429338.910, -25.10
2429338.955, -25.30
2429351.848, -25.81
2429353.885, -26.11
2429353.928, -25.47
2429353.979, -26.30
2429354.896, -25.60
2429357.793, -25.29
2429357.863, -25.58
2429357.906, -25.00
2429360.921, -26.27
2429360.971, -25.40
2429361.780, -25.85
2429361.826, -25.67
2429367.966, -25.85
2429371.768, -25.82
2429381.901, -24.95
2429382.892, -25.80
2429382.935, -25.65
2429385.725, -25.29
2429385.769, -25.11
2429385.810, -25.31
2429385.847, -24.17
2429385.890, -24.50
2429385.929, -24.75
2429385.973, -25.83
2429499.697, -22.37
2429499.740, -23.05
